Country,Animal_Products,Animal_fats,Eggs,Fish_and_Seafood,Fruits,Meat,Milk,Treenuts,Vegetables,Obesity,Confirmed,Deaths,Recovered,Population
Afghanistan,21.6397,6.2224,0.6859,0.0327,0.4246,6.1244,8.2803,0.7513,0.3593,4.5,0.12068434,0.004680436,0.095114057,38928000
Albania,32.0002,3.4172,1.6448,0.1445,0.6418,8.7428,17.7576,0.9181,0.6503,22.3,1.399541931,0.029563073,0.70162086,2838000
Algeria,14.4175,0.8972,1.2171,0.2008,0.5772,3.8961,8.0934,0.8595,0.5145,26.6,0.191816399,0.005554929,0.123971414,44357000
Angola,15.3041,1.313,0.1539,1.4155,0.3488,11.0268,1.2309,0.0308,0.1231,6.8,0.047103499,0.001079269,0.025026136,32522000
Antigua and Barbuda,27.7033,4.6686,0.3872,1.5263,1.2177,14.3202,6.6607,0.202,0.2469,19.1,0.146938776,0.004081633,0.135714286,98000
Argentina,30.3572,3.3076,1.5706,0.1664,0.2091,19.2693,5.8512,0.1366,0.1878,28.5,3.173640831,0.086290411,2.795156136,45377000
Armenia,29.6642,6.2619,1.6196,0.2218,0.5468,10.8165,10.4709,0.9542,0.8717,20.9,4.642456022,0.075372124,3.781968877,2956000
Australia,24.1099,4.603,0.7017,0.4515,0.4028,11.6002,6.5196,1.6145,0.2144,30.4,0.108484119,0.003525666,0.099456395,25754000
Austria,27.8268,12.8517,1.2147,0.4259,0.2249,8.1099,5.1497,0.8398,0.2039,21.9,3.247262733,0.03865829,2.621236258,8914000
Azerbaijan,32.1198,7.7987,2.0197,0.2122,0.594,11.9993,9.9202,2.2573,0.6534,19.9,1.281598734,0.014542936,0.783161852,10108000
Bahamas,30.2259,4.56,1.2829,1.4991,0.8995,17.4941,5.1318,0.4532,0.3974,32.1,1.919338422,0.041475827,1.509923664,393000
Bangladesh,9.8365,1.2369,1.2664,2.1646,0.427,1.8407,3.2249,0.2651,0.3092,3.4,0.276441767,0.003953265,0.227188194,169809000
Barbados,25.8451,3.9733,1.213,1.806,0.4636,13.1382,5.6176,0.7817,0.2534,24.8,0.097212544,0.002439024,0.088850174,287000
Belarus,23.8181,7.8662,1.5772,0.5151,0.2316,11.5636,2.0644,1.0462,0.3394,26.6,1.492352,0.012522667,1.25008,9375000
Belgium,26.7378,12.6234,1.1703,0.6188,0.2373,5.6817,6.5057,1.2056,0.2982,24.5,5.05646548,0.146860617,0,11515000
Belize,23.7877,9.8102,0.6759,0.4155,0.3039,10.3435,2.5053,0.3845,0.2108,22.4,1.397136038,0.035322196,0.75202864,419000
Benin,6.1742,0.4816,0.2064,0.8599,0.1978,3.2849,1.2469,1.9176,0.3612,8.2,0.025022524,0.00036039,0.023253338,12209000
Bolivia,30.4177,4.1685,1.5174,0.1831,0.5407,21.1476,3.2703,0.7413,0.1919,18.7,1.246402476,0.077125419,1.063122152,11633000
Bosnia and Herzegovina,24.6478,2.4453,0.8354,0.3049,0.5976,9.6957,11.2629,0.9574,0.7866,19.4,2.754587016,0.084516916,1.675312405,3281000
Botswana,16.9634,4.131,0.2697,0.3622,0.1696,3.4759,8.5241,0.1541,0.185,16.1,0.463616746,0.001467415,0.341476047,2317000
Brazil,24.8515,4.3627,0.7706,0.1886,0.2528,14.292,5.1654,0.1766,0.1204,22.3,3.03885049,0.08239146,2.719059355,211812000
Bulgaria,27.1456,8.0274,1.2201,0.3404,0.2723,9.3523,7.9698,0.3404,0.2461,27.4,2.193056157,0.062754439,0.796968385,6927000
Burkina Faso,7.2367,0.5981,0.4061,0.3692,0.0443,3.5741,2.1636,0.2658,0.0665,4.5,0.014399847,0.000325312,0.012758934,20903000
Cabo Verde,21.9578,4.2923,0.8468,0.5256,0.1898,9.9204,6.2851,0.1752,0.3066,10.6,1.954496403,0.019064748,1.874460432,556000
Cambodia,18.851,0.8839,0.5639,4.8461,0.2438,11.7799,0.6248,0.3048,0.2591,3.5,0.002135897,0,0.00196167,15497000
Cameroon,6.3264,0.7838,0.0746,0.9051,0.7931,3.3685,1.1197,0.1026,0.5505,9.5,0.092063313,0.001658019,0.08337845,26598000
Canada,23.1663,9.7895,1.2437,0.4244,0.4244,7.8211,3.8812,1.211,0.222,31.3,1.030390154,0.032317361,0.823589945,38190000
Central African Republic,18.5453,2.8767,0.1122,0.5509,0.4998,12.9144,1.7342,0,0.0918,6.3,0.101821946,0.001304348,0.039834369,4830000
Chad,16.8564,3.1261,0.0701,0.648,0.0701,7.8546,4.4308,0,0.0263,4.8,0.010102506,0.000604373,0.009118919,16877000
Chile,32.5206,5.2608,1.4085,0.5204,0.4186,20.2172,5.0798,0.7241,0.2602,28.8,2.844879301,0.079291217,2.719573703,19470000
China,31.0465,3.4468,2.3066,0.9817,0.2344,21.6062,2.2156,1.7979,0.5763,6.6,0.006639618,0.000338281,0.006210919,1402385000
Colombia,21.4008,1.7819,1.7819,0.3717,1.2273,11.3996,5.9535,0.5251,0.1829,22.1,2.698181781,0.075068765,2.478834641,49444000
Congo,12.9993,0.339,0.1377,1.854,0.837,9.6514,0.678,0.0212,0.5827,8.4,0.339996375,0.007792679,0.302319681,5518000
Costa Rica,20.5571,6.1,1.1492,0.9286,0.57,5.6449,6.67,0.354,0.1701,25.7,2.765407944,0.034024653,1.726198396,5111000
Cote d'Ivoire,5.3253,0.2726,0.4271,1.2268,0.5271,2.5809,0.5634,2.3355,0.3272,9,0.081608405,0.000504298,0.080267431,26175000
Croatia,29.3768,7.4457,0.9476,0.5633,0.2577,11.4896,8.7951,0.6987,0.393,27.1,3.355248756,0.047661692,2.745149254,4020000
Cuba,25.9025,3.2213,1.4788,0.2638,0.6179,16.0233,4.7695,0.0069,0.5554,26.7,0.074957894,0.001205567,0.068380463,11281000
Cyprus,20.9578,1.8698,1.0044,0.7309,0.3632,10.5506,6.6945,0.8609,0.2601,22.6,0.925849213,0.004308202,0.170422535,1207000
Czechia,25.1685,9.7011,0.8222,0.3,0.187,8.6212,5.6463,0.4164,0.1729,28.5,4.974262785,0.07946062,4.307568122,10716000
Denmark,35.4131,14.2498,1.7484,1.1313,0.5257,9.2408,8.8142,1.1846,0.2819,21.3,1.442031223,0.014616572,1.142631669,5829000
Djibouti,11.1065,1.3966,0.2494,0.291,0.1247,5.121,3.8573,0.4157,0.4572,12.2,0.575101215,0.006174089,0.56548583,988000
Dominica,26.925,3.8063,0.3619,1.6536,1.1856,13.7339,7.232,0.0312,0.2309,28.2,0.118055556,0,0.0875,72000
